"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","27","4","2","no","6","NA","8","2","60","NA","NA","NA","100","NA","l","3537","1","89","NA","NA","NA","3","500","300"
"4","55","2","2","no","6","NA","8","2","30","NA","NA","NA","70","NA","p","1396","1","89","NA","NA","NA","1","500","200"
"4","72","4","2","yes","6","NA","8","2","70","NA","NA","NA","80","NA","l","4819","1","89","NA","NA","NA","3","300","400"
"4","43","2","2","no","6","NA","8","2","20","NA","NA","NA","70","NA","p","5285","1","89","NA","NA","NA","1","300","100"
"4","33","3","2","no","6","NA","8","2","10","NA","NA","NA","30","NA","l","3081","1","89","NA","NA","NA","2","400","100"
"4","62","4","2","no","6","NA","8","2","50","NA","NA","NA","90","NA","l","3474","1","89","NA","NA","NA","3","200","100"
"4","52","3","2","no","6","NA","8","2","30","NA","NA","NA","100","NA","l","1992","1","89","NA","NA","NA","2","300","100"
"4","66","2","2","no","6","NA","8","2","50","NA","NA","NA","80","NA","p","6712","1","89","NA","NA","NA","1","500","300"
"4","21","3","2","no","6","NA","8","2","40","NA","NA","NA","100","NA","l","4156","1","89","NA","NA","NA","2","500","200"
"4","74","4","2","yes","6","NA","8","2","50","NA","NA","NA","60","NA","l","4380","1","89","NA","NA","NA","3","300","400"
"4","13","3","2","no","6","NA","8","2","30","NA","NA","NA","60","NA","l","8561","1","89","NA","NA","NA","2","200","100"
"4","46","2","1","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","7064","0","89","NA","NA","NA","3","400","300"
"4","53","3","1","no","6","NA","8","2","30","NA","NA","NA","40","NA","p","5049","0","89","NA","NA","NA","4","300","200"
"4","54","4","1","no","6","NA","8","2","30","NA","NA","NA","50","NA","p","2402","0","89","NA","NA","NA","1","300","200"
"4","21","1","1","no","6","NA","8","2","40","NA","NA","NA","100","NA","l","2033","0","89","NA","NA","NA","2","500","200"
"4","25","4","1","no","6","NA","8","2","60","NA","NA","NA","90","NA","p","3150","0","89","NA","NA","NA","1","300","200"
"4","62","2","1","no","6","NA","8","2","50","NA","NA","NA","90","NA","l","2768","0","89","NA","NA","NA","3","200","100"
"4","47","4","1","no","6","NA","8","2","20","NA","NA","NA","90","NA","p","4063","0","89","NA","NA","NA","1","500","100"
"4","48","1","1","no","6","NA","8","2","20","NA","NA","NA","30","NA","p","5577","1","89","NA","NA","NA","2","500","300"
"4","3","2","1","no","6","NA","8","2","10","NA","NA","NA","40","NA","l","4326","0","89","NA","NA","NA","3","400","100"
"4","61","1","1","no","6","NA","8","2","40","NA","NA","NA","70","NA","l","2216","0","89","NA","NA","NA","2","500","300"
"4","20","1","1","no","6","NA","8","2","40","NA","NA","NA","80","NA","l","1784","0","89","NA","NA","NA","2","400","200"
"4","55","4","1","no","6","NA","8","2","30","NA","NA","NA","70","NA","p","2283","0","89","NA","NA","NA","1","500","200"
"4","73","3","1","yes","6","NA","8","2","60","NA","NA","NA","70","NA","p","2452","0","89","NA","NA","NA","4","200","400"
"4","71","3","1","yes","6","NA","8","2","80","NA","NA","NA","90","NA","p","5809","0","89","NA","NA","NA","4","200","400"
"4","50","1","1","no","6","NA","8","2","30","NA","NA","NA","70","NA","l","4437","0","89","NA","NA","NA","2","200","100"
"4","60","2","1","no","6","NA","8","2","40","NA","NA","NA","50","NA","l","4702","0","89","NA","NA","NA","3","400","300"
"4","4","4","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","3243","0","89","NA","NA","NA","1","400","200"
